"test_id","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"A1BG","WT","EX","OK",4.13289,4.91722,0.250692,0.37001,0.51835,0.807678,"no"
"A1BG-AS1","WT","EX","OK",1.56819,2.3624,0.591154,0.717525,0.2173,0.530373,"no"
"A1CF","WT","EX","NOTEST",0.0053627,0,-Inf,0,1,1,"no"
"A2M","WT","EX","OK",260.875,289.671,0.151055,0.399647,0.4832,0.785596,"no"
"A2M-AS1","WT","EX","OK",0.797995,0.620626,-0.362656,-0.0343668,0.83095,0.954013,"no"
"A2ML1","WT","EX","NOTEST",0.00482447,0,-Inf,0,1,1,"no"
"A2MP1","WT","EX","NOTEST",0.0105635,0,-Inf,0,1,1,"no"
"A3GALT2","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"A4GALT","WT","EX","OK",28.0832,43.8021,0.641292,2.2107,0.00015,0.00187565,"yes"
"A4GNT","WT","EX","NOTEST",0.198894,0.1713,-0.215475,0,1,1,"no"
"AA06","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"AAAS","WT","EX","OK",18.5118,18.2522,-0.0203749,-0.0660534,0.9106,0.978326,"no"
"AACS","WT","EX","OK",5.48907,4.7226,-0.216983,-0.636723,0.26515,0.593914,"no"
"AACSP1","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"AADAC","WT","EX","NOTEST",0.0722933,0.116021,0.682457,0,1,1,"no"
"AADACL2","WT","EX","NOTEST",0.0368859,0.013631,-1.43618,0,1,1,"no"
"AADACL2-AS1","WT","EX","NOTEST",0.0628796,0.067962,0.112138,0,1,1,"no"
"AADACL3","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"AADACL4","WT","EX","NOTEST",0.111357,0.356671,1.67941,0,1,1,"no"
"AADACP1","WT","EX","NOTEST",0.0154852,0,-Inf,0,1,1,"no"
"AADAT","WT","EX","OK",3.09385,2.08874,-0.56677,-1.21427,0.03685,0.166276,"no"
"AAED1","WT","EX","OK",16.7774,31.2243,0.896154,2.75963,5e-05,0.000681395,"yes"
"AAGAB","WT","EX","OK",11.2043,10.9139,-0.0378855,-0.101693,0.85645,0.960118,"no"
"AAK1","WT","EX","OK",2.6299,2.60988,-0.0110265,-0.0373088,0.94705,0.988185,"no"
"AAMDC","WT","EX","OK",25.937,34.3378,0.404789,1.0562,0.0672,0.253539,"no"
"AAMP","WT","EX","OK",34.4963,41.3186,0.26035,0.880819,0.12395,0.377501,"no"
"AANAT","WT","EX","NOTEST",0.0216448,0.0500442,1.20918,0,1,1,"no"
"AAR2","WT","EX","OK",12.2833,14.2701,0.216304,0.704413,0.2231,0.538716,"no"
"AARD","WT","EX","NOTEST",0.0105116,0.110676,3.39628,0,1,1,"no"
"AARS","WT","EX","OK",50.0391,31.9682,-0.64642,-2.18375,1e-04,0.00129829,"yes"
"AARS2","WT","EX","OK",4.91588,2.7053,-0.861659,-2.48852,5e-05,0.000681395,"yes"
"AARSD1","WT","EX","OK",9.84512,8.62234,-0.191329,-0.514514,0.37265,0.700321,"no"
"AASDH","WT","EX","OK",3.69081,3.50107,-0.0761421,-0.206864,0.72195,0.91482,"no"
"AASDHPPT","WT","EX","OK",11.8647,13.4657,0.182615,0.564374,0.3304,0.664304,"no"
"AASS","WT","EX","OK",5.61665,13.9398,1.31143,4.38007,5e-05,0.000681395,"yes"
"AATBC","WT","EX","NOTEST",0.0650619,0.0143086,-2.18493,0,1,1,"no"
"AATF","WT","EX","OK",14.9593,18.5133,0.307519,0.999953,0.08105,0.287771,"no"
"AATK","WT","EX","NOTEST",0.0784171,0.0107175,-2.87121,0,1,1,"no"
"AATK-AS1","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABALON","WT","EX","OK",0.961378,1.40084,0.543114,0.248109,0.7494,0.924912,"no"
"ABAT","WT","EX","OK",3.30283,7.69674,1.22055,3.76793,5e-05,0.000681395,"yes"
"ABCA1","WT","EX","OK",32.2305,37.7503,0.228059,0.716995,0.20895,0.517936,"no"
"ABCA10","WT","EX","OK",1.27135,0.645408,-0.978082,-0.95364,0.1025,0.335644,"no"
"ABCA11P","WT","EX","OK",1.68936,1.13735,-0.570799,-0.68168,0.2293,0.547331,"no"
"ABCA12","WT","EX","NOTEST",0.0293167,0.00513282,-2.5139,0,1,1,"no"
"ABCA13","WT","EX","NOTEST",0.0942144,0.0746258,-0.336272,0,1,1,"no"
"ABCA17P","WT","EX","NOTEST",0.0473186,0.00467917,-3.33808,0,1,1,"no"
"ABCA2","WT","EX","OK",8.60954,7.49792,-0.199446,-0.675732,0.244,0.567704,"no"
"ABCA3","WT","EX","OK",1.24245,1.33941,0.108408,0.26766,0.648,0.881386,"no"
"ABCA4","WT","EX","NOTEST",0.132699,0.241119,0.861587,0,1,1,"no"
"ABCA5","WT","EX","OK",2.57448,2.66574,0.0502572,0.117553,0.84375,0.958634,"no"
"ABCA6","WT","EX","OK",13.1366,30.3502,1.20811,4.09475,5e-05,0.000681395,"yes"
"ABCA7","WT","EX","OK",1.34628,0.737459,-0.86834,-1.9334,0.0012,0.0111942,"yes"
"ABCA8","WT","EX","OK",30.8561,36.0675,0.225143,0.752926,0.19605,0.498614,"no"
"ABCA9","WT","EX","OK",13.1856,17.4846,0.407124,1.34804,0.0175,0.0951138,"no"
"ABCA9-AS1","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABCB1","WT","EX","OK",1.18967,0.746531,-0.672291,-1.15432,0.04485,0.19045,"no"
"ABCB10","WT","EX","OK",3.82078,5.44969,0.512306,1.46814,0.0106,0.0644904,"no"
"ABCB11","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABCB4","WT","EX","OK",0.636208,0.271001,-1.2312,-1.8489,0.00215,0.018069,"yes"
"ABCB5","WT","EX","OK",0.606205,0.214269,-1.50038,-1.4944,0.0099,0.06142,"no"
"ABCB6","WT","EX","OK",6.59907,5.89323,-0.163205,-0.472236,0.40315,0.725164,"no"
"ABCB7","WT","EX","OK",5.58978,5.00769,-0.158649,-0.444333,0.43705,0.752449,"no"
"ABCB8","WT","EX","OK",5.02421,5.04717,0.00657747,0.020444,0.9738,0.992895,"no"
"ABCB9","WT","EX","OK",1.03684,0.657259,-0.657664,-1.10555,0.05145,0.211038,"no"
