"FPKM.SRR5179446","FPKM.SRR5179447","FPKM.SRR5179448","FPKM.SRR5978827","FPKM.SRR5978828","FPKM.SRR5978829"
0.0963752128548352,0.140679201268127,0.0630113758579731,0.196471076898692,0.177107742634943,0.243164536884396
2.73487476887571,2.66171494553132,2.75769364513228,2.98256889225922,2.90801296037609,3.04122913705998
1.53558718281754,1.52148599315495,1.61796089831563,1.80365399444762,0.904898686703,2.01845400403178
0,0,0,0,2.01688635821389,0
0,0,0,1.1299832548134,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.84262630866557,2.79761401015327,2.86025766102192,1.07139474201626,1.39184963895683,1.06800278623812
0.849010444465537,0.79874649130274,0.665459173509932,0.284132680682887,0.187114016302945,0.281482237631937
0,0,0.408344483995023,0,0,0
1.46324473307243,1.79441420270081,1.53339739136444,0,0.815582806261533,0.834657017664333
1.39947573696585,1.18935333330345,1.29046687014255,0.808041481508878,0.43806924313776,0.268131329911593
0,0,0,0,0,0
0,0.0551206710306018,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
10.8340302250861,10.8574544661667,10.8519663989012,10.3408707002408,10.3277969844926,10.3448050472438
0,0.0551206710306018,0,0,0,0
1.70333463118442,1.84952655433686,1.73453318070274,0.89587027994648,1.1262539719583,0.984416544701018
0,0,0,0,0,1.31366263465336
1.18306341009049,0.861592561098016,1.34515959727177,0,0.611043924881555,0
0.998194058651862,0.837827821670886,1.09904536246745,0.471547503812937,0.43586537927696,0.3772692609828
0,0,0,0,0,0
0.553967929470772,0.967184842372687,0.805495533141259,0.284477413937662,0.100919804246591,0.497320092876008
0,0.314936616530456,0.254850391881838,0,0.210932422396686,0
0.906685910752729,0.522811057447603,0.102267089542035,1.05960655050276,0.75794917659978,0.753616515904382
0.401200105773684,0.397993483579446,0.311517065715481,0.8819832690022,1.03768654408312,0.289508715658973
0,0,0,0,0,0
0.670830367476866,0.384025485294442,0.388724075820618,0.314380983170687,0.251530053091601,0.224029157518107
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0.232593224803557,0.191361771119496,0
0.271581053272703,0.125968433221027,0.124696041501777,2.29690666533523,2.11118859764899,2.40199600858696
0,0,0,0,0,0
0,0,0,0,0,0.627563883463085
0.453797794359975,0,0,2.19968741944865,2.27092805771386,3.31805489066606
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1.40440670170906
0,0,0.298460077992671,0.601014699812195,0,0.815683626933262
0,0,0,1.6901189151951,1.53875964128901,2.38196247002538
0,0,0,3.62259914881682,3.74394176772046,0
3.99758949814627,3.5373811848299,4.27616602875265,5.00944557926701,4.6790987272094,4.71328604005914
3.21329952812613,3.5410424542055,1.95836089238599,3.6903014294422,4.24956396791439,4.34516321737367
0,0,0,0,0,0
1.3260155135832,2.04107823359586,0.560786353885955,2.59407171259487,2.32841427632481,2.33514906945509
0,0,0,0,0,0
1.76578083217499,0,1.48707570937145,0,0,0
0,0,0,0,0,0
0,0.472426423126022,0,0,1.14987455871106,1.28564131650333
0,0.344367215240128,1.99652758560527,1.8431706421824,1.71939813083022,0.978983404341449
1.49121329556123,1.17970403365388,1.64954372487323,1.52571160023867,1.55596336133093,1.50050787641001
0,0,0,0,0,0
0,0,0,0,0,0
1.05465749389237,1.13531355636973,0.949363853791991,0.75056105815416,0.549163461228256,0.981363880385374
2.32319739652462,2.092139091169,2.19674079561546,2.5495555740402,1.0397820222626,2.48704946148906
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,2.22658035450462,0
0,1.60429625266314,0,0,0,0
6.85588342166782,6.90491203796916,6.74013473697195,2.69429140853125,3.75167280467159,3.2435453986834
0,0,3.5419453287538,0,0,0
5.51551553995945,5.4803421671517,4.94789437066945,5.73076531007368,6.03446433955089,5.98857965020572
0,0,0,0,0,0
0,0,0,0,1.44927293882819,0
0,0,0,3.03058256921935,0,0
0,0,0,0,0,2.92879401989142
2.03462458535858,2.15027500865996,2.36805841876326,4.03329524578578,3.53134802079723,2.97332840242178
0.184379327511521,0,2.30607671343496,0.266646236464074,0,0
0.599249228344222,1.86594652036378,2.16544602190186,1.17730487530669,0.743104742290581,0.573367739558148
1.79140568379451,0,0,0,0,0
0.156611483841496,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.83545522321915,2.208488542959,2.06281629078333,2.26643545467681,3.05184172779936,2.96129437854226
0,0,0,0.868465524585035,0,0
0,0,0,2.11586425167725,0,0
0,0,0,0,0,0
0.496058348635915,0.31015744523978,0.306307742533589,0.471411197362775,0.324114716810226,0
0.441307115801143,0,0,0,0,0
0,0,0,0,0,0
1.54167193648182,0,0.296960097169213,1.15868020815087,0,0
0,0.0223692335274876,0,0,0,0.0684080408457047
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
6.18888278434678,6.22657388118079,6.12193689752995,6.24961449891899,6.33207207694774,6.34030080136371
0,0,0,0,1.57009808221048,0
2.06996401366686,1.88997654848789,1.1248429132155,2.32530178481486,0,0
0,0,0,0,0,0
1.39518950975318,1.49313287229333,1.01867120236185,1.80653936278475,1.60976441623741,1.37922336217469
0.624352671499482,0,1.79886093443797,0,0.459118913388606,0.552521677670119
2.94654971662865,3.07885248351928,2.79073868036559,3.5336738509342,3.2970932277737,3.49965929708645
0,0,0,0,0,0
0.827664587023178,0,2.79530273417701,3.80584651746113,0,0
0,0,0,0.0486937571573461,0,0
0.122203559613893,0,0.229793392178211,1.86722318097904,0,0
0,0.340422122839516,0,0.515605484519734,2.34645345340385,2.06897135515434
3.03191123447682,3.22262436744278,2.04625775150013,0.20396788358459,3.34146918701055,3.38307966901815
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.583191708496254,0,0,0
0,0,0,0,0,0
0,0,0,0.454553892946156,0,0
0,0,0,0.428243177746759,0.369095676637524,0.666259401222238
2.1859112523111,2.01415530158554,2.06521831503565,2.69593214103151,2.69389570500241,2.58026055768256
0,0,0,0,0,0
0,0,0,0.432811924244887,0,0
0,0.798332595780709,0,0.806698552624809,0,1.93343025007489
0,0.184328542159626,0,1.11620104676708,2.19349894575754,0
0,0,0,0.530387420989775,0,0
2.87776211177703,2.23228345805295,2.67513619171041,0,3.33985627236056,3.28939214791779
0,0,0,3.79724897928914,0,0
0,0.950660263036784,0.639359985461823,0,0.759624580254744,0
0,0,1.29785874715113,0,0,0.444711587236319
1.64859843175147,0,0,0.98749186882568,2.74571255785493,2.33029450324475
0.755321741446151,2.93127704105307,0,2.39069822283174,2.70258529602382,0
0,0,0,1.38320218178908,1.05643439593088,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.94333775604482,0,2.84935760774002,2.55186099274604,0.327771279455017,2.25947467618424
1.83912879120545,0.467311829859515,0,1.42287345816613,1.27911823046674,1.32919996379885
1.0109402088416,1.03881752531578,1.16152204584035,0.878165808617828,0.328083907115157,1.29864072161527
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.38754948347085,0.41920770780074,0.266786540694901,3.11533344014619,3.60699006394401,3.78083972499545
0,0.12643636990238,2.51652176684061,0,1.41109590667685,1.4566637121971
0,2.70556017823561,0,0,0,0
0,0,0.0258806900690622,0.00346119825126521,0.623682417276947,0.00585841524219617
2.58011967008384,0,0,0,0,0
1.80082329919042,0,0.526481523710795,3.23294435661984,0,0
2.52341466819289,0,2.8105307117464,2.69099562204034,0,0
0,2.94541106078359,0,0,3.88189196779536,3.59398306470651
0,0,0,0.450152857354872,0.482437353261534,0.340022118603496
0.801411985175074,0,0,0,0,5.12202572132169
2.58882063417471,3.06247353320603,0,0,0,0
2.82164287409057,2.61786313006887,3.61912690836509,5.03823967658091,4.98696979168032,1.89532395134424
0,0,0,0,0,0
0,1.18836294178533,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3.77790749280347,2.90893776941693,3.36173916840705,4.12715648432444,3.50727796774438,4.42993499549368
0.959581739545814,0,0,0,0,0.645869479113235
0,3.71730814271931,3.0205462931965,3.21366051864926,4.4480218548463,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.581155499825683,0.221706359794596
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.98893330872661,0,0.312435160361931,1.68957962003029
0,0,0,0,5.85244968379211,5.63460346136384
0,0,0,0,0,0
5.33909917865569,5.1288878292626,5.20111404448571,6.05827915043542,4.59286302777811,4.77280687703141
4.2904673862181,4.41229871744466,4.42200507185324,4.56448761655196,4.47927454514076,4.31950037808714
0,0,0,0,0,1.02865613559903
0.807801676142206,0,0,0,0,0
0,0,0,0,0,0
4.53528887800556,4.38021978907295,4.31109973513959,2.69834718133222,3.58052251414128,3.58279201728722
0,0,0,3.25620015737335,1.7587150732221,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.76433022979704,2.75288472059966,2.95373997428177,2.61022286403731,2.65429369330206,2.57105591710406
0,0,0,0,0,0
5.07522630405186,5.16302663936767,5.03042516248074,5.26468241954653,5.29628442043491,5.48435532490285
1.12697087453245,1.27748075713404,1.16647572560823,1.22688086970735,0.688202743130738,0.943391772483107
1.50050328739097,1.29665004752641,2.13573710869088,0.997067629621928,1.41688134712495,0.795781075487237
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.808189794774275,0,0,0,0
0.622109467519628,0.579814446848705,0.410330249080087,0.813912912878796,0.933744844982567,1.06596033265668
0,0,0,0,0,0
0,0,0,0,0,0
0.711498430786341,0.681333215341085,0,1.70240089370398,0,0
0.225513096816031,0,0.599791948201433,0,1.5397251051268,1.48165233787685
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0.492486973436581
2.89573439567461,2.91684481908972,0.96194553740885,1.61015245214378,1.82373346612281,1.64158440796434
0,0.735584562760251,1.18509457623448,0,1.972240109762,1.52528563650937
0,0,0,0,0,0
0,0,2.94442013719345,3.90353724443209,3.95475996825371,3.8627309762866
3.57297356051654,3.55456245318643,2.59921613487201,1.40421811526171,1.68330839013015,4.94350861362337
0,0,3.12534196683363,5.00287233980095,5.08066448458225,1.53368643300703
0,0,0,0,0,0
1.25227758389408,2.17554631719932,0,2.19880057592433,2.6136103860871,3.48361497882816
0,0,0,0.968013314578267,0.449247579078246,0
5.63002389435708,5.65587265055066,5.78137901927822,5.62691313308634,5.78767502648348,5.77602071478644
0.120074523387716,0,0,0,0,0
0,0,0,2.59420670498033,0.228763289942613,0
0,0,0,0,0,0
0,0,0,0,0,0
2.00745530666861,1.53007074222508,2.1508394153156,0,2.42616141377482,2.80394923661092
0,0,0,0,0,0
0,0,0,0,0.262561845821976,0
0,0,0.201418068034255,0,0,0
0,0,1.46366011917499,0,0,0
0,0,0.943618319402813,0,0,0
0.529094294785105,0.997435495652847,0,0.326239344464996,0,0.163327402073841
0,0,0,1.69398154287314,1.32776840572481,0.480527782401082
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1.35066130895603
0,0.0626964643947997,0,0,0.417810937671815,0
0,0,0,0,0,0
3.63274992540592,3.72871714662192,3.72203162043347,3.88532777715074,3.92922668379413,3.96735059332486
0,0,0,0,0,0
0,0,0,0,0,0
0.532048595590645,0.757289565624769,0,2.73846305554386,0,0.942332080852747
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.63954174211342,2.63892321280596,2.58894197141926,2.72517618116809,2.73361378544474,2.80949367709447
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.116150465960775,1.9093533848955,0,1.9731593868304
0,0,0,0,0,0
0,0,0,0,0,0
2.70833116719835,2.82585603089278,2.99006683065063,2.42500483259245,3.25223155591113,2.81150658368749
1.36184526368091,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1.15575311784787,0,0.819152317583597,0,0.989224040287834
1.74369117418365,1.31272325189986,1.26285526007735,2.27703195655609,2.08745808883532,1.97594708219267
1.94257418241689,0,0,0,0,0
0,0,0,0,0,0
0.520576127790725,0.411237489817264,1.09196787128237,0.453295264576758,0.712991889461797,0.623835030462351
1.65381213258499,1.97658763020327,1.88420090545731,1.3227496200345,1.28619511328858,1.40082480064256
0,0,0,0,0,0
0.567151134996305,0.434219878815611,0,0.943072896182779,0.719929023632278,0.822225983234279
0.79464293647733,1.11448430162959,1.46388450347075,1.55750223932568,0.813889934264877,1.27407316661489
