"gene_id","rep_name","fpkm"
"A1BG","EX_0",6.10015
"A1BG-AS1","EX_0",1.52234
"A1CF","EX_0",0
"A2M","EX_0",160.934
"A2M-AS1","EX_0",0.913091
"A2ML1","EX_0",0
"A2MP1","EX_0",0
"A3GALT2","EX_0",0
"A4GALT","EX_0",29.6417
"A4GNT","EX_0",0.161765
"AA06","EX_0",0
"AAAS","EX_0",17.4104
"AACS","EX_0",3.94896
"AACSP1","EX_0",0
"AADAC","EX_0",0.119285
"AADACL2","EX_0",0
"AADACL2-AS1","EX_0",0
"AADACL3","EX_0",0
"AADACL4","EX_0",0.233017
"AADACP1","EX_0",0
"AADAT","EX_0",3.31026
"AAED1","EX_0",28.8236
"AAGAB","EX_0",10.3796
"AAK1","EX_0",2.51976
"AAMDC","EX_0",32.819
"AAMP","EX_0",42.3188
"AANAT","EX_0",0
"AAR2","EX_0",13.4266
"AARD","EX_0",0.0720862
"AARS","EX_0",30.8741
"AARS2","EX_0",3.27823
"AARSD1","EX_0",9.61555
"AASDH","EX_0",3.3832
"AASDHPPT","EX_0",13.7655
"AASS","EX_0",14.2901
"AATBC","EX_0",0.0112873
"AATF","EX_0",18.8339
"AATK","EX_0",0.011257
"AATK-AS1","EX_0",0
"ABALON","EX_0",1.55128
"ABAT","EX_0",7.4891
"ABCA1","EX_0",26.6791
"ABCA10","EX_0",0.921526
"ABCA11P","EX_0",0.946338
"ABCA12","EX_0",0.00693311
"ABCA13","EX_0",0.03025
"ABCA17P","EX_0",0
"ABCA2","EX_0",5.1034
"ABCA3","EX_0",0.530622
"ABCA4","EX_0",0.16854
"ABCA5","EX_0",2.20727
"ABCA6","EX_0",27.2693
"ABCA7","EX_0",0.650783
"ABCA8","EX_0",41.9974
"ABCA9","EX_0",13.1675
"ABCA9-AS1","EX_0",0
"ABCB1","EX_0",0.453103
"ABCB10","EX_0",4.83375
"ABCB11","EX_0",0
"ABCB4","EX_0",0.208406
"ABCB5","EX_0",0.140047
"ABCB6","EX_0",7.22344
"ABCB7","EX_0",5.13074
"ABCB8","EX_0",4.94771
"ABCB9","EX_0",0.59823
"ABCC1","EX_0",35.3351
"ABCC10","EX_0",4.69606
"ABCC11","EX_0",0.046698
"ABCC12","EX_0",0
"ABCC13","EX_0",0
"ABCC2","EX_0",0.15427
"ABCC3","EX_0",2.63667
"ABCC4","EX_0",12.907
"ABCC5","EX_0",9.77263
"ABCC5-AS1","EX_0",0
"ABCC6","EX_0",0.89246
"ABCC6P1","EX_0",0.0855993
"ABCC6P2","EX_0",0.358365
"ABCC8","EX_0",0
"ABCC9","EX_0",5.95366
"ABCD1","EX_0",6.47781
"ABCD2","EX_0",0.01194
"ABCD3","EX_0",15.5076
"ABCD4","EX_0",5.23274
"ABCE1","EX_0",17.3288
"ABCF1","EX_0",0
"ABCF2","EX_0",18.9603
"ABCF3","EX_0",12.2729
"ABCG1","EX_0",2.67696
"ABCG2","EX_0",0.216852
"ABCG4","EX_0",0.0694661
"ABCG5","EX_0",0
"ABCG8","EX_0",0
"ABHD1","EX_0",0
"ABHD10","EX_0",5.28996
"ABHD11","EX_0",2.22205
"ABHD11-AS1","EX_0",0.606729
"ABHD12","EX_0",34.8361
"ABHD12B","EX_0",0.0421181
"ABHD13","EX_0",4.83649
"ABHD14A","EX_0",10.7003
"ABHD14A-ACY1","EX_0",0.578791
"ABHD14B","EX_0",25.1598
"ABHD15","EX_0",7.62638
"ABHD16A","EX_0",0
"ABHD16B","EX_0",1.2234
"ABHD17A","EX_0",25.8003
"ABHD17B","EX_0",4.7034
"ABHD17C","EX_0",15.4161
"ABHD2","EX_0",9.20322
"ABHD3","EX_0",3.49118
"ABHD4","EX_0",32.0427
"ABHD5","EX_0",25.3197
"ABHD6","EX_0",2.29694
"ABHD8","EX_0",9.34866
"ABI1","EX_0",18.0217
"ABI2","EX_0",7.39669
"ABI3","EX_0",0
"ABI3BP","EX_0",60.1995
"ABL1","EX_0",52.5527
"ABL2","EX_0",4.91105
"ABLIM1","EX_0",6.8912
"ABLIM2","EX_0",0.0219549
"ABLIM3","EX_0",26.0971
"ABO","EX_0",0
"ABR","EX_0",26.1278
"ABRA","EX_0",0
"ABRACL","EX_0",17.2161
"ABT1","EX_0",6.49278
"ABTB1","EX_0",20.6255
"ABTB2","EX_0",2.65717
"ACAA1","EX_0",20.6071
"ACAA2","EX_0",28.9452
"ACACA","EX_0",4.83625
"ACACB","EX_0",2.12298
"ACAD10","EX_0",4.85235
"ACAD11","EX_0",8.20479
"ACAD8","EX_0",7.19624
"ACAD9","EX_0",9.98491
"ACADL","EX_0",0.372349
"ACADM","EX_0",9.82237
"ACADS","EX_0",14.5809
"ACADSB","EX_0",4.92428
"ACADVL","EX_0",52.6036
"ACAN","EX_0",0.0232858
"ACAP1","EX_0",0.20577
"ACAP2","EX_0",13.9203
"ACAP3","EX_0",12.9899
"ACAT1","EX_0",29.9751
"ACAT2","EX_0",8.39782
"ACBD3","EX_0",22.4392
"ACBD4","EX_0",5.40292
"ACBD5","EX_0",9.4974
"ACBD6","EX_0",24.0283
"ACBD7","EX_0",0.0548897
"ACCS","EX_0",3.26125
"ACCSL","EX_0",0
"ACD","EX_0",5.28589
"ACE","EX_0",0.715583
"ACE2","EX_0",0
"ACER1","EX_0",0
"ACER2","EX_0",0.275214
"ACER3","EX_0",2.59052
"ACHE","EX_0",0.0520566
"ACIN1","EX_0",42.7318
"ACKR1","EX_0",0.0414686
"ACKR2","EX_0",0.394148
"ACKR3","EX_0",31.9503
"ACKR4","EX_0",9.84664
"ACLY","EX_0",48.915
"ACMSD","EX_0",0
"ACO1","EX_0",39.5889
"ACO2","EX_0",28.5894
"ACOT1","EX_0",1.245
"ACOT11","EX_0",0.556359
"ACOT12","EX_0",0.27131
"ACOT13","EX_0",5.08734
"ACOT2","EX_0",8.44647
"ACOT4","EX_0",0.984612
"ACOT6","EX_0",0
"ACOT7","EX_0",15.9719
"ACOT8","EX_0",11.5269
"ACOT9","EX_0",25.5717
"ACOX1","EX_0",5.85814
"ACOX2","EX_0",7.43454
"ACOX3","EX_0",5.52789
"ACOXL","EX_0",0.0250586
"ACP1","EX_0",33.3937
"ACP2","EX_0",10.0636
"ACP5","EX_0",0.185239
"ACP6","EX_0",2.29024
"ACPP","EX_0",0.276455
"ACPT","EX_0",0
"ACR","EX_0",0
"ACRBP","EX_0",0.0263233
"ACRC","EX_0",0.485806
"ACRV1","EX_0",0
"ACSBG1","EX_0",0.162105
"ACSBG2","EX_0",0
"ACSF2","EX_0",6.90988
"ACSF3","EX_0",2.52561
"ACSL1","EX_0",24.7471
"ACSL3","EX_0",27.5976
"ACSL4","EX_0",32.1901
"ACSL5","EX_0",1.90296
"ACSL6","EX_0",0.105142
"ACSM1","EX_0",0
"ACSM2A","EX_0",0
"ACSM2B","EX_0",0
"ACSM3","EX_0",0.178035
"ACSM4","EX_0",0
"ACSM5","EX_0",0
"ACSM6","EX_0",0
"ACSS1","EX_0",11.3417
"ACSS2","EX_0",9.54494
"ACSS3","EX_0",7.33684
"ACTA1","EX_0",0.0809875
"ACTA2","EX_0",156.025
"ACTA2-AS1","EX_0",0.208979
"ACTB","EX_0",2313.58
"ACTBL2","EX_0",0
"ACTC1","EX_0",0
"ACTG1","EX_0",1498.05
"ACTG1P17","EX_0",0.0590079
"ACTG1P20","EX_0",0.384105
"ACTG1P4","EX_0",0.307933
"ACTG2","EX_0",29.5703
"ACTL10","EX_0",0.721854
"ACTL6A","EX_0",15.066
"ACTL6B","EX_0",0
"ACTL7A","EX_0",0
"ACTL7B","EX_0",0
"ACTL8","EX_0",0.0635444
"ACTL9","EX_0",0
"ACTN1","EX_0",145.577
"ACTN1-AS1","EX_0",0
"ACTN2","EX_0",0.128285
"ACTN3","EX_0",0
"ACTN4","EX_0",169.558
"ACTR10","EX_0",31.19
"ACTR1A","EX_0",56.9875
"ACTR1B","EX_0",17.6173
"ACTR2","EX_0",84.1578
"ACTR3","EX_0",45.7152
"ACTR3B","EX_0",1.51091
"ACTR3BP2","EX_0",0
"ACTR3BP5","EX_0",0
"ACTR3C","EX_0",0.0490364
"ACTR5","EX_0",1.47478
"ACTR6","EX_0",9.42601
"ACTR8","EX_0",8.43129
"ACTRT1","EX_0",0
"ACTRT2","EX_0",0
"ACTRT3","EX_0",2.34545
"ACVR1","EX_0",28.8801
"ACVR1B","EX_0",8.21393
"ACVR1C","EX_0",0.0935931
"ACVR2A","EX_0",1.9952
"ACVR2B","EX_0",0.35876
"ACVR2B-AS1","EX_0",0.0667548
"ACVRL1","EX_0",13.7118
"ACY1","EX_0",6.90798
"ACY3","EX_0",0
"ACYP1","EX_0",12.6123
"ACYP2","EX_0",4.48025
"ADA","EX_0",2.27585
"ADAD1","EX_0",0
"ADAD2","EX_0",0
"ADAL","EX_0",2.52978
"ADAM10","EX_0",34.9583
"ADAM11","EX_0",0.20382
