"","PC1","PC2","PC3","group"
"Albu_0",-79.4347082903094,-17.424606740641,62.2010995147779,"Albu_0"
"Albu_1",51.2690535641847,-27.0774107951975,-42.911106213091,"Albu_1"
"Albu_2",61.3305892985436,96.6054014582746,-0.236795517994677,"Albu_2"
"Albu_3",-70.7607940771519,-40.9385190794749,-19.0644064574551,"Albu_3"
"Both_0",48.3585271929954,-28.800799048382,87.0276234495322,"Both_0"
"Both_1",-52.9872571034146,-20.7150214105357,-55.1211854604541,"Both_1"
"Both_2",-39.0543603264012,75.5042224584438,-9.16119908697129,"Both_2"
"Both_3",56.5758866822829,-67.13112974426,-24.6473856714936,"Both_3"
"CTR_0",-67.3086110881391,-12.391645159381,69.2063494384777,"CTR_0"
"CTR_1",-57.6794092894858,-4.44386457422446,-40.7599144084977,"CTR_1"
"CTR_2",-59.5087969649929,80.7554506583551,-15.8890399491746,"CTR_2"
"CTR_3",-67.6821532927308,-38.8278478628586,-27.110059863133,"CTR_3"
"Dexa_0",57.6116186463185,-13.7392203031411,104.585817701917,"Dexa_0"
"Dexa_1",81.0307198582811,-28.5286252728876,-50.7767983721397,"Dexa_1"
"Dexa_2",63.8249196655797,103.311866634207,-10.2576319080229,"Dexa_2"
"Dexa_3",74.4147755244452,-56.1582512182975,-27.0853671962794,"Dexa_3"
