"","PC1","PC2","PC3","group"
"Albu_0",-83.0419849467123,-1.11697358290564,54.6012126037537,"Albu_0"
"Albu_1",53.8689934836066,56.3456542321462,-24.5400044026791,"Albu_1"
"Albu_2",75.0329755514701,-81.9683889333703,-0.688948420199774,"Albu_2"
"Albu_3",-73.9824468299374,30.797154255335,-29.9044777192071,"Albu_3"
"CTR_0",-72.5049227550667,-7.64760271213222,61.5882605652156,"CTR_0"
"CTR_1",-49.487306057903,-3.4549207626718,-49.9401661228356,"CTR_1"
"CTR_2",-39.5626133342865,-85.9286047999035,-39.7851070416133,"CTR_2"
"CTR_3",-70.7287813107977,27.7362571279101,-41.805523454493,"CTR_3"
"Dexa_0",40.8516363350285,15.3194542719043,118.898055843942,"Dexa_0"
"Dexa_1",80.1050737463193,62.0508602128619,-28.7306636951176,"Dexa_1"
"Dexa_2",79.840578287316,-85.7916121813692,-11.0339587505903,"Dexa_2"
"Dexa_3",59.6087978309691,73.6587228721948,-8.65867940617441,"Dexa_3"
