"","PC1","PC2","PC3","tissue"
"GSM11805.CEL.gz",-4.9759759057456,-70.7181339203772,26.6682635902741,"kidney"
"GSM11814.CEL.gz",-22.9987251015457,-72.7053965170032,17.7574248867801,"kidney"
"GSM11823.CEL.gz",-36.4605848108321,-18.171761857009,40.2910804633326,"kidney"
"GSM11830.CEL.gz",-62.6395333958896,3.81868818500805,19.5445870686115,"kidney"
"GSM12067.CEL.gz",-41.2140790547725,-28.8104641598218,23.1216143181737,"kidney"
"GSM12075.CEL.gz",-42.2513675318731,-5.90274721893674,27.6321213839288,"kidney"
"GSM12079.CEL.gz",-66.717880821983,27.8660377525454,9.26812884580907,"kidney"
"GSM12098.CEL.gz",-35.9946746872493,-20.2060071969192,34.303888125083,"kidney"
"GSM12105.CEL.gz",-25.4447062532357,-50.2113738459552,19.7288989763865,"kidney"
"GSM12268.CEL.gz",-38.1597103281351,-22.7110114359707,33.1452650034414,"kidney"
"GSM12270.CEL.gz",-28.1450973678235,-54.8346107515184,17.4725155383968,"kidney"
"GSM12283.CEL.gz",-43.7674919131283,0.902761681696819,20.8709882377062,"kidney"
"GSM12298.CEL.gz",-34.9795020529909,-46.0934885245169,17.8978521996925,"kidney"
"GSM12300.CEL.gz",-39.1423416631373,-20.2396994059928,32.2003611845245,"kidney"
"GSM12399.CEL.gz",-46.4922802531602,-12.225714201241,11.1618992636312,"kidney"
"GSM12444.CEL.gz",-25.0320939981913,-40.0810754626104,29.4609255199016,"kidney"
"GSM21203.cel.gz",45.3899996059151,46.8436671416219,7.33064114838989,"hippocampus"
"GSM21204.cel.gz",71.8983058402587,45.3799729686834,8.58418923346391,"hippocampus"
"GSM21205.cel.gz",-0.58676844485502,120.785322170629,7.60511956987875,"hippocampus"
"GSM21206.cel.gz",88.6140771269892,-9.86499588700067,31.7679371878993,"hippocampus"
"GSM21207.cel.gz",9.20034275454513,112.862934031888,-9.24024728682529,"hippocampus"
"GSM21208.cel.gz",46.1999725158369,58.3017096020678,11.6600528452745,"hippocampus"
"GSM21209.cel.gz",56.4913957256093,60.6659758917769,18.0951887195202,"hippocampus"
"GSM21210.cel.gz",80.6797655923602,28.7172974632739,33.7838477073424,"hippocampus"
"GSM21212.cel.gz",55.6400375917604,52.4409663595355,10.603264391065,"hippocampus"
"GSM21213.cel.gz",30.3462093388963,72.024994287214,-2.76391843524784,"hippocampus"
"GSM21214.cel.gz",88.5287785649331,36.6326661439296,21.8252454928989,"hippocampus"
"GSM21215.cel.gz",92.1322409852271,12.6727162837178,29.2764813159261,"hippocampus"
"GSM21216.cel.gz",99.1757650092998,10.2827337859864,36.6688366201928,"hippocampus"
"GSM21217.cel.gz",90.2657126750545,27.5095045549402,43.3046413513237,"hippocampus"
"GSM21218.cel.gz",115.50065997312,-4.1298481758421,38.6828034258206,"hippocampus"
"GSM21219.cel.gz",76.4166819257264,22.3356456085829,26.9921964586239,"hippocampus"
"GSM21220.cel.gz",85.9848835278756,14.1598083075104,32.1266037595911,"hippocampus"
"GSM21221.cel.gz",91.7058917316362,14.856501235724,29.1845198967257,"hippocampus"
"GSM21222.cel.gz",83.7343539802586,14.2392067405028,30.6775663588946,"hippocampus"
"GSM21223.cel.gz",83.5283446426302,21.5318255697978,40.5126252106166,"hippocampus"
"GSM21224.cel.gz",96.682078264366,-17.2095789295283,49.9620637480437,"hippocampus"
"GSM21225.cel.gz",88.1794053643914,-0.463258405573386,34.7652756378727,"hippocampus"
"GSM21226.cel.gz",57.5331180341104,44.2440625794793,2.09207383451219,"hippocampus"
"GSM21227.cel.gz",78.0717559780444,17.388027924053,41.1650768006627,"hippocampus"
"GSM21228.cel.gz",79.7497788191996,8.79466756427418,33.16355951896,"hippocampus"
"GSM21229.cel.gz",88.232407752493,-5.11922259485208,31.5447694753245,"hippocampus"
"GSM21230.cel.gz",57.3874926583575,31.0877287948415,29.0520342709578,"hippocampus"
"GSM21231.cel.gz",60.5760294805816,22.2488658142068,21.8227200344004,"hippocampus"
"GSM21232.cel.gz",59.6023421787501,47.0335349630112,20.7097872738358,"hippocampus"
"GSM21233.cel.gz",69.8469697899759,44.8306092228332,14.7099028081955,"hippocampus"
