"","V1","V2","V3","tissue"
"GSM11805.CEL.gz",33.3676372497731,-27.6013989980463,-50.9260616714534,"kidney"
"GSM11814.CEL.gz",41.4831032622403,-36.9912839936124,-36.4568741629027,"kidney"
"GSM11823.CEL.gz",41.323114151424,3.80354070134,-36.1291139665569,"kidney"
"GSM11830.CEL.gz",40.0545720538872,-9.75450379778968,-32.0103832194524,"kidney"
"GSM12067.CEL.gz",36.146504729763,-19.7037806368625,-44.3312945718062,"kidney"
"GSM12075.CEL.gz",40.2145224068376,5.93503467317776,-29.7733354272761,"kidney"
"GSM12079.CEL.gz",32.59423332747,-11.2822890323288,-14.2995874808792,"kidney"
"GSM12098.CEL.gz",42.5837833241607,2.64738391481961,-37.908110564981,"kidney"
"GSM12105.CEL.gz",32.465606460411,-27.5955783574599,-46.8010813771917,"kidney"
"GSM12268.CEL.gz",42.5402782591797,1.55850223795887,-37.0916036374819,"kidney"
"GSM12270.CEL.gz",39.3733018571455,-24.1193876727812,-44.6506947168157,"kidney"
"GSM12283.CEL.gz",39.5207809554583,8.19863240694398,-26.3513258837103,"kidney"
"GSM12298.CEL.gz",41.3492973971855,-19.9228038135443,-41.7314838814802,"kidney"
"GSM12300.CEL.gz",43.0444693890024,3.85308546580185,-37.8437578169168,"kidney"
"GSM12399.CEL.gz",36.059038067942,-19.4372819815934,-37.3469638486501,"kidney"
"GSM12444.CEL.gz",40.9250939687865,-5.38414422526241,-44.3215037889883,"kidney"
"GSM21203.cel.gz",-60.4572384665291,10.2273930323668,-5.13200459006326,"hippocampus"
"GSM21204.cel.gz",-75.2116162648315,12.114447077195,-4.19317271239797,"hippocampus"
"GSM21205.cel.gz",-44.1559696143153,28.9585433246644,26.4664426595307,"hippocampus"
"GSM21206.cel.gz",-71.7690261017442,3.31226535940094,-26.649086760701,"hippocampus"
"GSM21207.cel.gz",-44.253590639506,22.1656247001517,27.5466397698355,"hippocampus"
"GSM21208.cel.gz",-67.3077603599684,15.0803657485308,-2.61038472989027,"hippocampus"
"GSM21209.cel.gz",-63.4041692684566,16.6166981727428,-0.347153755743281,"hippocampus"
"GSM21210.cel.gz",-78.6774956991313,14.3655858862045,-13.7167821682844,"hippocampus"
"GSM21212.cel.gz",-57.5722946640793,11.9407282057274,-5.63582654368554,"hippocampus"
"GSM21213.cel.gz",-51.2363624209059,14.7623655896572,2.57238428639372,"hippocampus"
"GSM21214.cel.gz",-86.1920694986178,14.7292927557684,-6.62158577622832,"hippocampus"
"GSM21215.cel.gz",-86.2465367117281,10.4268125039613,-14.9901178930151,"hippocampus"
"GSM21216.cel.gz",-87.3738163334233,12.1365665737747,-17.6769215162731,"hippocampus"
"GSM21217.cel.gz",-87.9712400647031,13.5846874707879,-12.2211120080666,"hippocampus"
"GSM21218.cel.gz",-94.1732374549599,9.49151940096282,-20.2774921100265,"hippocampus"
"GSM21219.cel.gz",-68.9757157582491,9.12794224830135,-14.3641439643005,"hippocampus"
"GSM21220.cel.gz",-77.8131338043239,10.9461265952303,-18.8864509558669,"hippocampus"
"GSM21221.cel.gz",-84.7025251435525,12.7712749629867,-15.2442089836785,"hippocampus"
"GSM21222.cel.gz",-75.7119285751577,10.393982535659,-19.8910425594052,"hippocampus"
"GSM21223.cel.gz",-77.4061833777639,12.863036159526,-21.1057067776271,"hippocampus"
"GSM21224.cel.gz",-75.0429305637183,4.94857716341957,-35.5285783811755,"hippocampus"
"GSM21225.cel.gz",-75.6845122967542,7.61253461149763,-22.3880482656552,"hippocampus"
"GSM21226.cel.gz",-64.2192102916401,10.9887404850138,-5.39560019020347,"hippocampus"
"GSM21227.cel.gz",-72.5070406237098,9.76995552651546,-18.1984318676639,"hippocampus"
"GSM21228.cel.gz",-71.5169210966867,8.31073524341366,-24.2330364320758,"hippocampus"
"GSM21229.cel.gz",-77.8971762192654,7.31264381786513,-23.139147400705,"hippocampus"
"GSM21230.cel.gz",-58.6395329661482,9.32612910633999,-14.2148224898427,"hippocampus"
"GSM21231.cel.gz",-65.2141149142014,11.0749525463155,-15.9047644655849,"hippocampus"
"GSM21232.cel.gz",-70.034999956016,15.2219634838398,-8.3336179909076,"hippocampus"
"GSM21233.cel.gz",-73.775767584296,14.1575677546853,-4.46176406950785,"hippocampus"
"GSM87058.cel.gz",-81.0525402080061,13.0177522954323,26.1952147201508,"cerebellum"
"GSM87064.cel.gz",-78.7234515351059,14.7709361887739,24.3852608276325,"cerebellum"
"GSM87065.cel.gz",-92.5840693499718,10.5134493186687,16.3875475620726,"cerebellum"
"GSM87066.cel.gz",-94.28471507519,11.3318704905965,11.2528218331421,"cerebellum"
"GSM87071.cel.gz",-83.9090801580031,12.1360409398087,22.3108033521466,"cerebellum"
"GSM87072.cel.gz",-85.5587565189625,13.2063730682511,20.0190004461192,"cerebellum"
"GSM87073.cel.gz",-92.6644216074357,10.1977383818055,19.3288982240649,"cerebellum"
"GSM87074.cel.gz",-81.2806186972001,12.1522335489802,18.7769469360771,"cerebellum"
"GSM87075.cel.gz",-90.0568345963463,11.6948711558332,7.61574108894614,"cerebellum"
"GSM87085.cel.gz",-81.5792609963672,17.8233065518176,14.5280715665526,"cerebellum"
"GSM87086.cel.gz",-86.904904413032,13.281555344014,14.4908576829885,"cerebellum"
"GSM87087.cel.gz",-89.4470609329318,9.3974369045974,10.5282666862244,"cerebellum"
"GSM87088.cel.gz",-83.1749739806056,11.5131213944543,26.8460968113639,"cerebellum"
"GSM87089.cel.gz",-92.1435495816475,13.0533075270999,9.10959753351557,"cerebellum"
"GSM87090.CEL.gz",-91.4560778646168,11.4626915208831,15.3438539486692,"cerebellum"
"GSM87091.cel.gz",-88.8870459340691,11.0138601131194,17.7052342194975,"cerebellum"
"GSM87092.cel.gz",-90.2331241216828,12.5399396613002,23.9919775008134,"cerebellum"
"GSM87093.cel.gz",-96.7449099179556,9.67457694307973,11.858034356261,"cerebellum"
"GSM87094.cel.gz",-86.6261752416182,14.2762226951138,20.4639947048808,"cerebellum"
"GSM87095.cel.gz",-91.9979955443753,12.0964748674008,17.4395562415314,"cerebellum"
"GSM87096.cel.gz",-79.4161180161894,15.151728615938,14.4623965773212,"cerebellum"
"GSM87097.cel.gz",-83.1143474693463,11.7260022859261,12.0042290920007,"cerebellum"
"GSM87098.cel.gz",-80.2761919762619,15.9419133221589,24.3057856335524,"cerebellum"
"GSM87099.cel.gz",-93.3320100194573,10.517397502971,16.2633021977987,"cerebellum"
"GSM87100.cel.gz",-85.7186866402343,14.537275094189,23.9922844689196,"cerebellum"
"GSM87101.cel.gz",-90.6666767744687,12.3476785968291,15.2362685156585,"cerebellum"
"GSM87102.cel.gz",-87.632737099013,11.7044966492315,11.7998412659321,"cerebellum"
"GSM146778.CEL.gz",33.3143657249848,-8.30614008951643,-48.5533636022627,"kidney"
"GSM146779.CEL.gz",34.282484162631,-37.400245259302,-60.1055873378857,"kidney"
"GSM146781.CEL.gz",32.7142246431608,-36.3133895747131,-51.2372825032847,"kidney"
"GSM146782.CEL.gz",31.7893373710623,-5.39833905601267,-34.2289466694311,"kidney"
"GSM146783.CEL.gz",31.36911771674,-32.5920264203857,-54.6313489714668,"kidney"
"GSM146785.CEL.gz",33.7491027967904,-34.7096354658622,-64.4702464890126,"kidney"
"GSM146787.CEL.gz",28.3812069751981,-35.4442908933344,-66.5076670508106,"kidney"
"GSM146788.CEL.gz",41.4329260498133,-24.0367659291453,-40.9519572296945,"kidney"
"GSM146789.CEL.gz",33.6628359051763,1.33631123093122,-37.0446329381707,"kidney"
"GSM146791.CEL.gz",26.6077612059071,-34.2478189243789,-62.8602902615487,"kidney"
"GSM146793.CEL.gz",26.6317319161,-37.9276467783609,-68.1760726609589,"kidney"
"GSM146795.CEL.gz",40.8345277865698,-27.5139118482551,-45.4597286111989,"kidney"
"GSM146797.CEL.gz",40.5141625729112,-24.7289498066084,-21.3575038740664,"kidney"
"GSM92240.CEL.gz",46.9077264241533,-46.0554326435338,35.5151711645603,"colon"
"GSM92241.CEL.gz",40.2315198394745,-47.0084040245887,34.9431348593078,"colon"
"GSM92242.CEL.gz",40.1051266023027,-50.3255276575936,29.844440788176,"colon"
"GSM92243.CEL.gz",40.7826179555896,-40.2682129106898,37.0135878208665,"colon"
"GSM92244.CEL.gz",43.4061141501818,-49.7167615796212,25.5596445269576,"colon"
"GSM92245.CEL.gz",37.085923758941,-40.5291075206484,28.9858121205142,"colon"
"GSM92247.CEL.gz",36.7600320950898,-49.5195979054035,36.5521903474467,"colon"
"GSM92248.CEL.gz",34.4847040028059,-46.8393335902345,48.8576061552436,"colon"
"GSM92249.CEL.gz",31.4320226567641,-40.0905119168136,57.5792296385226,"colon"
"GSM92250.CEL.gz",35.3594922794725,-51.9377806261688,35.0296937487972,"colon"
"GSM92253.CEL.gz",40.6467481729584,-48.9751588885802,46.3284096440662,"colon"
"GSM92254.CEL.gz",39.0578920362988,-44.7518267678182,36.1784066429803,"colon"
"GSM92255.CEL.gz",35.2837353572989,-48.9529342233866,48.0403557943437,"colon"
"GSM92256.CEL.gz",34.8424471316308,-32.4052062040956,56.1894648054689,"colon"
"GSM92257.CEL.gz",37.3165330132563,-36.2410192034037,45.4607818761647,"colon"
"GSM92258.CEL.gz",34.0057227277005,-46.9972626848882,33.5461148117477,"colon"
"GSM92259.CEL.gz",36.1632209445229,-46.8574688870032,43.9073132168007,"colon"
"GSM92260.CEL.gz",33.6707270311582,-47.6741425990231,40.4366396113451,"colon"
"GSM92261.CEL.gz",34.6819022136746,-48.9345647947867,45.8373805701911,"colon"
"GSM92262.CEL.gz",32.8714905380393,-25.8808469742175,58.3962559705302,"colon"
"GSM92263.CEL.gz",35.1441321678166,-53.7877641113419,36.6482568721288,"colon"
"GSM92264.CEL.gz",31.5414882799885,-48.703806857844,33.9937277444789,"colon"
"GSM92265.CEL.gz",37.4667050577237,-40.2353468822674,42.260780896594,"colon"
"GSM92266.CEL.gz",38.9771202725142,-49.5990276079256,30.6990383872019,"colon"
"GSM92267.CEL.gz",35.7429980148264,-29.3002941870323,42.499707072539,"colon"
"GSM92268.CEL.gz",36.3733101122811,-44.0479315363112,43.3964316296664,"colon"
"GSM92269.CEL.gz",42.6553682379797,-46.655313792411,36.540273634273,"colon"
"GSM92270.CEL.gz",44.0156221191231,-44.5943758405166,41.3270249456303,"colon"
"GSM92271.CEL.gz",35.4268952622617,-44.5985703590062,48.8531937745162,"colon"
"GSM92272.CEL.gz",41.6296255899254,-46.0081576051122,27.5805613066129,"colon"
"GSM92273.CEL.gz",37.834989036164,-41.892542979169,44.9659188768095,"colon"
"GSM92274.CEL.gz",33.76408554188,-38.0089287715888,41.1731751660873,"colon"
"GSM92275.CEL.gz",35.671486584773,-38.8420251703399,36.8325608236588,"colon"
"GSM92276.CEL.gz",34.3473275674799,-36.300603684083,45.0442674835174,"colon"
"GSM35979.cel.gz",28.4388490149499,-16.5643725283485,-17.4005896274998,"kidney"
"GSM35980.cel.gz",28.8657695055842,-16.5168836280789,-15.7104023969927,"kidney"
"GSM35981.cel.gz",30.3221304796839,-1.13120696745331,13.2832336673285,"kidney"
"GSM35982.cel.gz",68.435864233274,65.2034588527779,11.6579002094285,"liver"
"GSM35983.cel.gz",68.972433696199,67.9245144823911,17.288735614614,"liver"
"GSM35984.cel.gz",68.2083968150865,65.1255031404057,13.8415856965687,"liver"
"GSM35991.cel.gz",27.9417442911962,-25.1239729598042,-33.4139970706037,"kidney"
"GSM35992.cel.gz",28.7256838568261,-23.3932899474946,-30.1693949581017,"kidney"
"GSM35993.cel.gz",27.5219090927134,-26.9290686391072,-37.6238857136612,"kidney"
"GSM35994.cel.gz",72.3069706976509,55.6559489104733,-19.1993547298897,"liver"
"GSM35995.cel.gz",78.2638416726776,67.5952551749528,-1.47089774308675,"liver"
"GSM35996.cel.gz",73.3495358290547,55.164772260975,-22.2837508269874,"liver"
"GSM36003.cel.gz",29.3543889255797,-10.1278237417514,-3.3543831306928,"kidney"
"GSM44675.CEL.gz",40.1114166992761,-0.565710402576496,-7.14136942442618,"kidney"
"GSM44689.CEL.gz",-64.98301536913,22.7268599988546,29.372320429112,"cerebellum"
"GSM44697.CEL.gz",-71.3409019998226,12.7558427301936,0.645337141979954,"hippocampus"
"GSM44702.CEL.gz",68.0063012293109,68.4367926515945,13.4564756774813,"liver"
"GSM181429.CEL.gz",68.209688560619,65.7838450545692,-20.1151281490699,"liver"
"GSM181430.CEL.gz",70.3674459423746,75.2676822953001,-0.403709423955678,"liver"
"GSM181431.CEL.gz",72.274290468131,61.8434034400011,-21.7750804147697,"liver"
"GSM181432.CEL.gz",69.4479493583441,77.7210606532653,14.7023002139635,"liver"
"GSM181433.CEL.gz",78.7482695657573,79.0253793508886,0.575742085989821,"liver"
"GSM18917.CEL.gz",-28.828680242462,41.2376614372225,65.4872033125509,"cerebellum"
"GSM18918.CEL.gz",-26.2654442946237,39.5085023549275,66.0102170190328,"cerebellum"
"GSM18953.CEL.gz",60.1718922171678,79.646135298929,63.6494325338858,"liver"
"GSM18954.CEL.gz",64.0332420238381,83.6571908369346,62.820289551965,"liver"
"GSM18955.CEL.gz",41.1577733037346,40.5908560404892,51.2217395473781,"kidney"
"GSM18956.CEL.gz",41.4737616780957,35.4308303141364,36.9023499766398,"kidney"
"GSM296875.CEL.gz",30.1017253884409,-33.3109178315344,-6.74566615386753,"endometrium"
"GSM296876.CEL.gz",11.7792451782361,-25.1360215953225,-21.975715407116,"endometrium"
"GSM296878.CEL.gz",29.4601569967304,-39.3944874849425,-10.1801393332521,"endometrium"
"GSM296879.CEL.gz",28.07040466399,-34.9952853894343,2.65647744046756,"endometrium"
"GSM296880.CEL.gz",30.9261104484139,-35.976172071459,-7.47966317830222,"endometrium"
"GSM296881.CEL.gz",20.0556502391847,-41.0918051690702,-15.4851433411409,"endometrium"
"GSM296882.CEL.gz",26.3394389274723,-30.4462893465255,4.28378845706694,"endometrium"
"GSM296883.CEL.gz",29.0599202681118,-30.3583286394912,-0.00879885487683543,"endometrium"
"GSM296886.CEL.gz",15.4560201134213,-35.0246312873459,-35.4165658261645,"endometrium"
"GSM296887.CEL.gz",15.6802973393539,-31.9022630399239,-32.7150153826999,"endometrium"
"GSM296888.CEL.gz",14.6076358300838,-23.354182506157,-14.0945220456764,"endometrium"
"GSM296889.CEL.gz",7.48650785499912,-35.3261852556023,-39.9111631405075,"endometrium"
"GSM296890.CEL.gz",12.6088769975274,-26.3950467091883,-34.0393302492281,"endometrium"
"GSM296891.CEL.gz",27.9105486173777,-31.8376751450392,-28.3510162641582,"endometrium"
"GSM296892.CEL.gz",24.7031965460141,-35.0461765982084,-32.8142283324936,"endometrium"
"GSM298747.CEL.gz",85.0093664269269,83.1913424279852,0.0608215404586969,"liver"
"GSM298748.CEL.gz",81.2249271011428,88.3045615293003,-1.2802376286856,"liver"
"GSM298749.CEL.gz",80.5417131929029,78.2091799210282,1.4630479735691,"liver"
