ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
10123	ADP ribosylation factor like GTPase 4C(ARL4C)	Homo sapiens				GO:0007264~small GTPase mediated signal transduction,GO:0032456~endocytic recycling,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0030175~filopodium,	GO:0003924~GTPase activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0043014~alpha-tubulin binding,	IPR005225:Small GTP-binding protein domain,IPR006689:Small GTPase superfamily, ARF/SAR type,IPR024156:Small GTPase superfamily, ARF type,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					Alternative splicing,Cell membrane,Cell projection,Complete proteome,Cytoplasm,GTP-binding,Lipoprotein,Membrane,Myristate,Nucleotide-binding,Reference proteome,Transport,	chain:ADP-ribosylation factor-like protein 4C,lipid moiety-binding region:N-myristoyl glycine,nucleotide phosphate-binding region:GTP,
10939	AFG3 like matrix AAA peptidase subunit 2(AFG3L2)	Homo sapiens				GO:0006461~protein complex assembly,GO:0006508~proteolysis,GO:0007409~axonogenesis,GO:0007528~neuromuscular junction development,GO:0008053~mitochondrial fusion,GO:0021675~nerve development,GO:0034982~mitochondrial protein processing,GO:0036444~calcium ion transmembrane import into mitochondrion,GO:0040014~regulation of multicellular organism growth,GO:0042407~cristae formation,GO:0042552~myelination,GO:0045041~protein import into mitochondrial intermembrane space,GO:0048747~muscle fiber development,GO:0051560~mitochondrial calcium ion homeostasis,GO:0060013~righting reflex,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005745~m-AAA complex,GO:0016021~integral component of membrane,	GO:0004176~ATP-dependent peptidase activity,GO:0004222~metalloendopeptidase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0051082~unfolded protein binding,	IPR000642:Peptidase M41,IPR003593:AAA+ ATPase domain,IPR003959:ATPase, AAA-type, core,IPR003960:ATPase, AAA-type, conserved site,IPR005936:Peptidase, FtsH,IPR011546:Peptidase M41, FtsH extracellular,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		610246~Spinocerebellar ataxia 28,614487~Ataxia, spastic, 5, autosomal recessive,		SM00382:AAA,	3D-structure,ATP-binding,Complete proteome,Disease mutation,Hydrolase,Membrane,Metal-binding,Metalloprotease,Mitochondrion,Neurodegeneration,Nucleotide-binding,Protease,Proteomics identification,Reference proteome,Spinocerebellar ataxia,Transmembrane,Transmembrane helix,Zinc,	chain:AFG3-like protein 2,metal ion-binding site:Zinc; catalytic,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,transmembrane region,
56172	ANKH inorganic pyrophosphate transport regulator(ANKH)	Homo sapiens				GO:0001501~skeletal system development,GO:0007626~locomotory behavior,GO:0030500~regulation of bone mineralization,GO:0030505~inorganic diphosphate transport,GO:0035435~phosphate ion transmembrane transport,GO:0055085~transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0019867~outer membrane,	GO:0005315~inorganic phosphate transmembrane transporter activity,GO:0015114~phosphate ion transmembrane transporter activity,GO:0030504~inorganic diphosphate transmembrane transporter activity,	IPR009887:Progressive ankylosis,		118600~Chondrocalcinosis 2,123000~Craniometaphyseal dysplasia,			Alternative splicing,Complete proteome,Deafness,Disease mutation,Membrane,Phosphate transport,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:Progressive ankylosis protein homolog,sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
10297	APC2, WNT signaling pathway regulator(APC2)	Homo sapiens			Cell division and chromosome partitioning,	GO:0001708~cell fate specification,GO:0007026~negative regulation of microtubule depolymerization,GO:0007389~pattern specification process,GO:0008283~cell proliferation,GO:0016055~Wnt signaling pathway,GO:0016477~cell migration,GO:0030178~negative regulation of Wnt signaling pathway,GO:0035414~negative regulation of catenin import into nucleus,GO:0045595~regulation of cell differentiation,GO:0045732~positive regulation of protein catabolic process,GO:0090090~negative regulation of canonical Wnt signaling pathway,	GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005874~microtubule,GO:0005881~cytoplasmic microtubule,GO:0005884~actin filament,GO:0015630~microtubule cytoskeleton,GO:0016342~catenin complex,GO:0030877~beta-catenin destruction complex,GO:0031258~lamellipodium membrane,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0008013~beta-catenin binding,GO:0008017~microtubule binding,GO:0045295~gamma-catenin binding,	IPR000225:Armadillo,IPR009223:Adenomatous polyposis coli protein, cysteine-rich repeat,IPR009224:SAMP,IPR009234:Adenomatous polyposis coli protein basic domain,IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,IPR026818:Adenomatous polyposis coli (APC)  family,IPR026831:Adenomatous polyposis coli domain,IPR026837:Adenomatous polyposis coli 2,	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04810:Regulation of actin cytoskeleton,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05210:Colorectal cancer,hsa05213:Endometrial cancer,hsa05217:Basal cell carcinoma,			SM00185:ARM,	Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Golgi apparatus,Microtubule,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Wnt signaling pathway,	chain:Adenomatous polyposis coli protein 2,compositionally biased region:Pro-rich,compositionally biased region:Ser-rich,region of interest:5 X 20 AA approximate repeat of F-X-V-E- X-T-P-X-C-F-S-R-X-S-S-L-S-S-L-S,region of interest:Interaction with CTNNB1,region of interest:Interaction with MAPRE1 and MAPRE3,repeat:1,repeat:2,repeat:3,repeat:4,repeat:5,repeat:ARM 1,repeat:ARM 2,repeat:ARM 3,repeat:ARM 4,repeat:ARM 5,repeat:ARM 6,sequence conflict,sequence variant,splice variant,
653857	ARP3 actin-related protein 3 homolog C(ACTR3C)	Homo sapiens				GO:0034314~Arp2/3 complex-mediated actin nucleation,	GO:0005885~Arp2/3 protein complex,GO:0070062~extracellular exosome,	GO:0003779~actin binding,GO:0005524~ATP binding,	IPR004000:Actin-related protein,IPR015623:Actin-related protein 3 (Arp3),				SM00268:ACTIN,	Actin-binding,Alternative splicing,ATP-binding,Complete proteome,Nucleotide-binding,Reference proteome,Signal,	chain:Actin-related protein 11,modified residue,sequence conflict,signal peptide,splice variant,
515	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1(ATP5F1)	Homo sapiens				GO:0006754~ATP biosynthetic process,GO:0015986~ATP synthesis coupled proton transport,GO:0021762~substantia nigra development,GO:0042776~mitochondrial ATP synthesis coupled proton transport,	GO:0000276~mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005753~mitochondrial proton-transporting ATP synthase complex,GO:0005759~mitochondrial matrix,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0043209~myelin sheath,GO:0070062~extracellular exosome,	GO:0005515~protein binding,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0016887~ATPase activity,GO:0022857~transmembrane transporter activity,GO:0046933~proton-transporting ATP synthase activity, rotational mechanism,	IPR008688:ATPase, F0 complex, B chain/subunit B/MI25,IPR013837:ATPase, F0 complex, B chain/subunit B,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,				Acetylation,CF(0),Coiled coil,Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Mitochondrion,Mitochondrion inner membrane,Polymorphism,Proteomics identification,Reference proteome,Transit peptide,Transmembrane,Transmembrane helix,Transport,	chain:ATP synthase subunit b, mitochondrial,modified residue,sequence conflict,sequence variant,transit peptide:Mitochondrion,
245973	ATPase H+ transporting V1 subunit C2(ATP6V1C2)	Homo sapiens				GO:0008286~insulin receptor signaling pathway,GO:0015991~ATP hydrolysis coupled proton transport,GO:0016241~regulation of macroautophagy,GO:0030177~positive regulation of Wnt signaling pathway,GO:0033572~transferrin transport,GO:0034220~ion transmembrane transport,GO:0090383~phagosome acidification,	GO:0000221~vacuolar proton-transporting V-type ATPase, V1 domain,GO:0005765~lysosomal membrane,GO:0005829~cytosol,GO:0033180~proton-transporting V-type ATPase, V1 domain,GO:0070062~extracellular exosome,	GO:0008553~hydrogen-exporting ATPase activity, phosphorylative mechanism,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0046961~proton-transporting ATPase activity, rotational mechanism,GO:0046983~protein dimerization activity,	IPR004907:ATPase, V1 complex, subunit C,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04145:Phagosome,hsa04721:Synaptic vesicle cycle,hsa04966:Collecting duct acid secretion,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05323:Rheumatoid arthritis,				Alternative splicing,Coiled coil,Complete proteome,Hydrogen ion transport,Ion transport,Polymorphism,Proteomics identification,Reference proteome,Transport,	chain:V-type proton ATPase subunit C 2,sequence variant,splice variant,
23080	AVL9 cell migration associated(AVL9)	Homo sapiens				GO:0016477~cell migration,	GO:0016021~integral component of membrane,GO:0055037~recycling endosome,		IPR018307:Late secretory pathway protein AVL9,					Alternative splicing,Complete proteome,Endosome,Membrane,Methylation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:Late secretory pathway protein AVL9 homolog,sequence variant,splice variant,transmembrane region,
116986	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2(AGAP2)	Homo sapiens				GO:0007264~small GTPase mediated signal transduction,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0015031~protein transport,GO:0033601~positive regulation of mammary gland epithelial cell proliferation,GO:0042177~negative regulation of protein catabolic process,GO:0043524~negative regulation of neuron apoptotic process,GO:0043547~positive regulation of GTPase activity,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046427~positive regulation of JAK-STAT cascade,GO:0060749~mammary gland alveolus development,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005730~nucleolus,GO:0005739~mitochondrion,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0030295~protein kinase activator activity,GO:0046872~metal ion binding,	IPR001164:Arf GTPase activating protein,IPR001806:Small GTPase superfamily,IPR001849:Pleckstrin homology domain,IPR002110:Ankyrin repeat,IPR011993:Pleckstrin homology-like domain,IPR020683:Ankyrin repeat-containing domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa04068:FoxO signaling pathway,hsa04144:Endocytosis,			SM00105:ArfGap,SM00233:PH,	3D-structure,Alternative splicing,ANK repeat,Complete proteome,Cytoplasm,GTP-binding,GTPase activation,Metal-binding,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Protein transport,Proteomics identification,Reference proteome,Repeat,Transport,Tumor suppressor,Zinc,Zinc-finger,	chain:Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2,domain:Arf-GAP,domain:PH,helix,modified residue,nucleotide phosphate-binding region:GTP,region of interest:G domain,region of interest:Interaction with EPB41L1,region of interest:Interaction with PLCG1,region of interest:Interactions with HOMER1 and NF2,repeat:ANK 1,repeat:ANK 2,sequence conflict,sequence variant,splice variant,strand,turn,zinc finger region:C4-type,
8938	BAI1 associated protein 3(BAIAP3)	Homo sapiens				GO:0007186~G-protein coupled receptor signaling pathway,GO:0007269~neurotransmitter secretion,	GO:0098793~presynapse,	GO:0008022~protein C-terminus binding,	IPR000008:C2 calcium-dependent membrane targeting,IPR014770:Munc13 homology 1,IPR014772:Mammalian uncoordinated homology 13, domain 2,IPR019558:Mammalian uncoordinated homology 13, subgroup, domain 2,	hsa05202:Transcriptional misregulation in cancer,			SM00239:C2,	Alternative splicing,Complete proteome,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:BAI1-associated protein 3,domain:C2 1,domain:C2 2,domain:MHD1,domain:MHD2,sequence variant,splice variant,
