"chr","chromStart","chromEnd","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","geneID","ReadsCount.input.Control","ReadsCount.IP.Control","ReadsCount.input.Treated","ReadsCount.IP.Treated","ModLog2FC_control","ModLog2FC_treated","DiffModLog2FC","pvalue","padj"
"chr20",43257801,43280294,"peak_1",1.28562532589452,"-",43257801,43280294,0,1,"22493","0","100",34,132,79,168,2.06757035908671,2.65014929177917,0.248830419823998,0.185225252978237,0.410192970644797
"chr18",25532004,25532079,"peak_2",0.915450472819116,"-",25532004,25532079,0,1,"75","0","1000",68,441,41,48,3.3031989287039,2.86460183033433,-0.192054640700733,0.289352102429308,0.530178299861974
"chr3",101395973,101396248,"peak_3",1.3704315702277,"+",101395973,101396248,0,1,"275","0","100009676",22,189,16,86,3.21615866383842,3.98555855742961,0.243983197212612,0.167515025635474,0.386775530393947
"chr11",64812294,64812394,"peak_4",0,"-",64812294,64812394,0,1,"100","0","10004",7,116,4,35,4.18926885683653,4.76720945108139,0.0614525208940016,0.565982533416986,NA
"chrX",119387390,119387515,"peak_5",0,"+",119387390,119387515,0,1,"125","0","10009",10,62,20,35,3.31483077198654,3.60178160164855,0.0509313427843691,0.695318888540495,NA
"chr2",162087608,162091948,"peak_6",10.1156096509785,"+",162087608,162091948,0,1,"4340","0","10010",163,911,246,438,3.16659115319231,4.01603987830854,0.765892397308096,5.5835610926228e-05,0.000901359562739208
"chr2",162091973,162092123,"peak_7",4.14983432204664,"+",162091973,162092123,0,1,"150","0","10010",41,134,76,91,2.36972880902345,3.44542846938285,0.747273269044982,0.00937749083577044,0.0563346229651051
"chr7",75052131,75052281,"peak_8",0.4750023619567,"-",75052131,75052281,0,1,"150","0","100101267",28,211,12,56,2.53903103613527,2.95624642928605,0.0976375645686805,0.508342276952622,0.719465612107125
"chr7",75051806,75051856,"peak_9",0,"-",75051806,75051856,0,1,"50","0","100101267",16,92,4,38,2.03741595840144,3.78655686812445,0.29211801057703,0.0641136283964959,NA
"chr7",75047714,75048014,"peak_10",1.90127859874075,"-",75047714,75048014,0,1,"300","0","100101267",24,311,8,102,3.34156538424351,4.43848911619788,0.331627503122316,0.0916359142110128,0.26770600411781
"chr18",32847544,32870123,"peak_11",0.681196736921636,"-",32847544,32870123,0,1,"22579","0","100101467",12,148,40,88,4.19911148821008,3.70926794892771,-0.138663769885147,0.388662606793861,0.62364773478667
"chr5",139930101,139930201,"peak_12",0.321839809578909,"-",139930101,139930201,0,1,"100","0","10011",133,398,123,157,1.64098884195083,1.78812585287471,0.0822284189405465,0.629558713388959,0.800048957268059
"chr5",139929651,139930001,"peak_13",5.00338098076857,"-",139929651,139930001,0,1,"350","0","10011",19,341,31,61,4.44779268602626,2.99574278267594,-1.05167407086195,0.00424047359347721,0.0311768508314219
"chr6",11575669,11575994,"peak_14",0.527910441525561,"+",11575669,11575994,0,1,"325","0","100113407",20,143,27,49,3.61001541494359,4.01033070754455,0.110380054094883,0.476383641853409,0.693558537404228
"chr19",10421053,10421128,"peak_15",0.2038922868088,"-",10421053,10421128,0,1,"75","0","100125288,112812",96,557,86,232,2.03265296032547,1.93722665416297,-0.0537056959940365,0.752677040259966,0.868205046320555
"chr19",10420803,10421028,"peak_16",0.662768216953547,"-",10420803,10421028,0,1,"225","0","100125288,112812",140,730,125,317,2.24417769782859,2.45400714440972,0.140331866849428,0.397685613425689,0.631665105938779
"chr3",125647501,125647726,"peak_17",0,"+",125647501,125647726,0,1,"225","0","100125556",15,138,9,20,3.61474445366264,3.42507993215709,-0.0285270792970603,0.806284056617293,NA
"chr3",197401058,197401458,"peak_18",0.161847518980237,"-",197401058,197401458,0,1,"400","0","100126321,9711",19,364,22,135,4.40298048746584,4.26827500074721,-0.0401218742829852,0.795066832761835,0.893879633101826
"chr20",62563007,62563207,"peak_19",1.26434100049268,"+",62563007,62563207,0,1,"200","0","100126329,100126352,80331",165,900,109,313,2.27742311138925,2.58106529081584,0.219180685843391,0.189437028043422,0.416289478160198
"chr20",62563382,62563532,"peak_20",0.816391014471635,"+",62563382,62563532,0,1,"150","0","100126329,100126352,80331",84,504,72,170,2.09715858966145,1.77841662946012,-0.1746845681161,0.328471889342011,0.567860703919492
"chr20",62566282,62566557,"peak_21",0.336739295095952,"+",62566282,62566557,0,1,"275","0","100126329,100126352,80331",105,548,97,196,2.52875336623529,2.66833757872025,0.08414321231866,0.615458879680533,0.791828941872501
"chr4",1984790,1985115,"peak_22",7.64371935308725,"-",1984790,1985115,0,1,"325","0","100126332,7469",194,800,160,369,2.23790820135969,3.01445847961941,0.68095547559198,0.000407171167514555,0.00500047426231166
"chr3",10302150,10311835,"peak_23",12.8104740054004,"+",10302150,10311835,0,1,"9685","0","100126793,9797",262,997,275,479,2.43820894560543,3.25577948224285,0.75529816621658,6.54284509176878e-06,0.000139207638334081
"chr3",10312110,10312660,"peak_24",2.67980472706738,"+",10312110,10312660,0,1,"550","0","100126793,9797",293,1527,356,663,2.73112421753002,3.05033802261834,0.272426985356242,0.0403867540089085,0.156062440684428
"chr3",10321427,10321827,"peak_25",1.97787241773761,"+",10321427,10321827,0,1,"400","0","100126793,9797",136,1614,200,655,3.71730130474173,3.37350475881705,-0.272676616422162,0.0844959058860382,0.253863974250026
"chr12",98909300,98909475,"peak_26",1.0833998551976,"-",98909300,98909475,0,1,"175","0","100128191",67,615,34,135,2.45243319438095,1.98707471221877,-0.219797497940203,0.235276723444116,0.471915396083277
"chr12",98908800,98909250,"peak_27",1.06894293664101,"-",98908800,98909250,0,1,"450","0","100128191",38,662,22,107,4.09829952888878,3.5696419533447,-0.21166084745047,0.239217460517306,0.476668126071659
"chr16",89783920,89784245,"peak_28",0.151610365247082,"+",89783920,89784245,0,1,"325","0","100128881",164,1963,44,301,2.94302126850753,3.01135438358211,0.0424654022109169,0.806249130614257,0.900245029948155
"chr14",105268062,105268112,"peak_29",0,"+",105268062,105268112,0,1,"50","0","100128927",3,82,2,39,3.89417017812157,3.97228597692575,0.00443098930413318,0.955889401335558,NA
"chr14",105268137,105268237,"peak_30",0,"+",105268137,105268237,0,1,"100","0","100128927",6,103,3,53,3.29608766006752,4.00633118663179,0.0626837741052454,0.527859528994357,NA
"chr9",127116201,127116601,"peak_31",1.92083735464356,"+",127116201,127116601,0,1,"400","0","100129034",44,337,77,124,3.15220605391474,2.55342001748044,-0.353085146534738,0.0897948650133893,0.264101178679252
"chr9",127116626,127117076,"peak_32",0.0286426601803052,"+",127116626,127117076,0,1,"450","0","100129034",53,411,78,236,3.01346932225033,3.02903902170771,0.00156866521899302,0.961324911221164,0.980342205339694
"chr9",127117151,127117551,"peak_33",1.84280626867743,"+",127117151,127117551,0,1,"400","0","100129034",53,554,44,317,3.00664581216877,3.57436966097133,0.338232966500034,0.0970065824432691,0.278778987815343
"chr9",127117901,127118301,"peak_34",1.40909491977605,"+",127117901,127118301,0,1,"400","0","100129034",48,312,59,229,2.55389369227873,3.05170048144684,0.268421628313267,0.160142015969988,0.376547841490044
"chr9",127118326,127118576,"peak_35",1.42660614719779,"+",127118326,127118576,0,1,"250","0","100129034",52,274,54,172,2.25033126162779,2.7670228573022,0.271394034090418,0.1567504308049,0.372004983348859
